transcript_id	gene_id	gene_name
C1_11570W_A-T	C1_11570W_A	C1_11570W_A
C1_06810W_A-T	C1_06810W_A	CAT1
C1_05640C_A-T	C1_05640C_A	FAL1
C1_00210C_A-T	C1_00210C_A	C1_00210C_A
C1_11850W_A-T	C1_11850W_A	C1_11850W_A
C1_10400C_A-T	C1_10400C_A	FGR41
C1_05690C_A-T	C1_05690C_A	C1_05690C_A
C1_04500W_A-T	C1_04500W_A	ICL1
C1_04240C_A-T	C1_04240C_A	HHF1
C1_10720C_A-T	C1_10720C_A	MNN2
C1_02500W_A-T	C1_02500W_A	C1_02500W_A
C1_04700C_A-T	C1_04700C_A	C1_04700C_A
C1_14420W_A-T	C1_14420W_A	DDI1
C1_05560W_A-T	C1_05560W_A	RIB4
C1_04060W_A-T	C1_04060W_A	IFI3
C1_00970W_A-T	C1_00970W_A	C1_00970W_A
C1_14190C_A-T	C1_14190C_A	YPI1
C1_08210C_A-T	C1_08210C_A	MLT1
C1_06980C_A-T	C1_06980C_A	C1_06980C_A
C1_06840C_A-T	C1_06840C_A	C1_06840C_A
C1_01980W_A-T	C1_01980W_A	HGT1
C1_10320W_A-T	C1_10320W_A	C1_10320W_A
C1_02380C_A-T	C1_02380C_A	C1_02380C_A
C1_12550C_A-T	C1_12550C_A	CDC54
C1_10920W_A-T	C1_10920W_A	C1_10920W_A
C1_07980C_A-T	C1_07980C_A	C1_07980C_A
C1_11090C_A-T	C1_11090C_A	PFS2
C1_05870W_A-T	C1_05870W_A	PRN3
C1_06420C_A-T	C1_06420C_A	C1_06420C_A
C1_01600W_A-T	C1_01600W_A	MRP20
C1_14390W_A-T	C1_14390W_A	RPC10
C1_12810W_A-T	C1_12810W_A	C1_12810W_A
C1_07130C_A-T	C1_07130C_A	C1_07130C_A
C1_10160W_A-T	C1_10160W_A	MIR1
C1_08890C_A-T	C1_08890C_A	C1_08890C_A
C1_04730C_A-T	C1_04730C_A	LYS21
C1_06090C_A-T	C1_06090C_A	C1_06090C_A
C1_10910C_A-T	C1_10910C_A	C1_10910C_A
C1_02640C_A-T	C1_02640C_A	TOM20
C1_08570C_A-T	C1_08570C_A	PCL2
C1_08180C_A-T	C1_08180C_A	C1_08180C_A
C1_08460C_A-T	C1_08460C_A	UPC2
C1_02370C_A-T	C1_02370C_A	C1_02370C_A
C1_13280C_A-T	C1_13280C_A	C1_13280C_A
C1_01660C_A-T	C1_01660C_A	tS(UGA)1
C1_03410W_A-T	C1_03410W_A	C1_03410W_A
C1_02910C_A-T	C1_02910C_A	ATG17
C1_13970C_A-T	C1_13970C_A	HPC2
C1_05550C_A-T	C1_05550C_A	C1_05550C_A
C1_09500W_A-T	C1_09500W_A	C1_09500W_A
C1_13030C_A-T	C1_13030C_A	C1_13030C_A
C1_13860C_A-T	C1_13860C_A	GND1
C1_13600W_A-T	C1_13600W_A	C1_13600W_A
C1_13210C_A-T	C1_13210C_A	C1_13210C_A
C1_00340W_A-T	C1_00340W_A	HBR1
C1_08100W_A-T	C1_08100W_A	DRG1
C1_06020W_A-T	C1_06020W_A	RGD1
C1_00560W_A-T	C1_00560W_A	CNS1
C1_13610C_A-T	C1_13610C_A	KIS2
C1_13250W_A-T	C1_13250W_A	C1_13250W_A
C1_01510W_A-T	C1_01510W_A	C1_01510W_A
C1_14330W_A-T	C1_14330W_A	C1_14330W_A
C1_10370W_A-T	C1_10370W_A	C1_10370W_A
C1_03140W_A-T	C1_03140W_A	C1_03140W_A
C1_10560C_A-T	C1_10560C_A	C1_10560C_A
C1_09300C_A-T	C1_09300C_A	C1_09300C_A
C1_04910C_A-T	C1_04910C_A	C1_04910C_A
C1_02780W_A-T	C1_02780W_A	C1_02780W_A
C1_07620C_A-T	C1_07620C_A	PIR32
C1_13670W_A-T	C1_13670W_A	OSM2
C1_03350C_A-T	C1_03350C_A	RLI1
C1_13380W_A-T	C1_13380W_A	CWC26
C1_07770W_A-T	C1_07770W_A	FGR6-3
C1_08530W_A-T	C1_08530W_A	C1_08530W_A
C1_04900W_A-T	C1_04900W_A	MNN15
C1_03000W_A-T	C1_03000W_A	HOL1
C1_10950C_A-T	C1_10950C_A	C1_10950C_A
C1_02110C_A-T	C1_02110C_A	HGT2
C1_13920W_A-T	C1_13920W_A	DOS2
C1_01560W_A-T	C1_01560W_A	SIZ1
C1_13470W_A-T	C1_13470W_A	KNS1
C1_06580W_A-T	C1_06580W_A	RPS23A
C1_04220C_A-T	C1_04220C_A	C1_04220C_A
C1_07000W_A-T	C1_07000W_A	MEF2
C1_00410C_A-T	C1_00410C_A	C1_00410C_A
C1_10530W_A-T	C1_10530W_A	SNL1
C1_12930C_A-T	C1_12930C_A	C1_12930C_A
