Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,stimulus,treatment
SRR29279123,RNA-Seq,76,98166540,PRJNA1120019,SAMN41673662,42866002,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",4,SRX24796375,uncalculated,uncalculated,missing,NextSeq 500,GSM8305580,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305580,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279124,RNA-Seq,76,95412680,PRJNA1120019,SAMN41673662,41352887,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",4,SRX24796375,uncalculated,uncalculated,missing,NextSeq 500,GSM8305580,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305580,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279126,RNA-Seq,76,85686124,PRJNA1120019,SAMN41673663,36958055,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",4,SRX24796374,uncalculated,uncalculated,missing,NextSeq 500,GSM8305579,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305579,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279127,RNA-Seq,76,87713728,PRJNA1120019,SAMN41673663,38089036,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",4,SRX24796374,uncalculated,uncalculated,missing,NextSeq 500,GSM8305579,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305579,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279128,RNA-Seq,76,85545296,PRJNA1120019,SAMN41673663,36867645,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",4,SRX24796374,uncalculated,uncalculated,missing,NextSeq 500,GSM8305579,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305579,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279130,RNA-Seq,76,119124528,PRJNA1120019,SAMN41673664,51748861,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",4,SRX24796373,uncalculated,uncalculated,missing,NextSeq 500,GSM8305578,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305578,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279131,RNA-Seq,76,122412820,PRJNA1120019,SAMN41673664,53539890,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",4,SRX24796373,uncalculated,uncalculated,missing,NextSeq 500,GSM8305578,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305578,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279132,RNA-Seq,76,118917504,PRJNA1120019,SAMN41673664,51619435,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",4,SRX24796373,uncalculated,uncalculated,missing,NextSeq 500,GSM8305578,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305578,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279134,RNA-Seq,76,100001256,PRJNA1120019,SAMN41673665,43423832,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",3,SRX24796372,uncalculated,uncalculated,missing,NextSeq 500,GSM8305577,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305577,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279135,RNA-Seq,76,102929764,PRJNA1120019,SAMN41673665,44967289,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",3,SRX24796372,uncalculated,uncalculated,missing,NextSeq 500,GSM8305577,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305577,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
